nace_r2,geo,2020,2021,2022,2023,2024
S,CZ,28.2,29.5,35.3,33.7,33.6
S,DE,31.6,34.0,33.9,34.2,36.1
S,DK,46.0,47.5,43.1,43.0,52.0
S,EE,44.1,48.7,46.9,43.1,40.7
S,EL,26.7,33.5,32.9,20.2,20.8
S,ES,41.6,46.3,42.6,42.7,43.8
S,FI,55.5,52.0,51.6,49.1,50.4
S,FR,43.5,48.4,45.1,47.0,45.1
S,HR,21.2,22.7,21.3,30.7,28.4
S,HU,20.7,32.1,33.1,35.6,36.9
S,IE,35.7,38.4,37.9,33.3,41.6
S,IS,53.1,49.5,40.8,50.0,48.9
S,IT,16.5,15.6,16.3,16.9,19.2
S,LT,53.7,49.5,56.6,57.0,63.1
S,LV,28.7,40.5,35.9,34.6,38.5
S,NL,45.6,50.1,48.9,50.7,45.9
S,NO,46.6,43.5,39.4,43.1,48.7
S,PL,31.1,31.5,30.9,32.9,33.5
S,PT,26.8,23.5,26.0,32.1,31.4
S,RO,27.4,27.6,29.4,25.4,24.3
S,SE,46.2,43.4,46.7,48.9,47.8
S,SI,34.5,40.8,35.7,31.5,22.4
T,CH,21.3,18.9,18.4,17.0,15.6
T,CY,13.0,11.4,14.6,12.8,8.5
T,EL,14.0,21.9,13.5,17.0,15.2
T,ES,14.5,13.9,13.8,15.4,13.9
T,FR,12.1,7.9,10.5,11.8,11.3
T,IT,7.9,8.0,8.9,8.4,9.4
TOTAL,AT,35.8,36.3,37.0,38.1,38.6
TOTAL,BE,47.9,50.6,51.0,49.9,49.6
TOTAL,BG,32.6,33.5,33.0,33.6,37.0
TOTAL,CH,43.7,44.6,44.2,45.5,45.7
TOTAL,CY,49.1,50.2,50.7,53.0,53.1
TOTAL,CZ,24.8,26.7,26.9,27.2,27.9
TOTAL,DE,30.2,31.5,31.3,31.9,33.0
TOTAL,DK,40.9,41.8,41.8,42.6,44.1
TOTAL,EE,40.5,42.5,43.0,42.8,42.8
TOTAL,EL,42.5,44.6,43.9,42.9,43.0
TOTAL,ES,46.6,47.1,47.1,47.4,47.7
